StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q_RecaptchaAssessmentName,Q1.1_First Click,Q1.1_Last Click,Q1.1_Page Submit,Q1.1_Click Count,Q2.1,Q2.1_3_TEXT,Q2.2,Q2.3,Q2.3_7_TEXT,Q2.4,Q2.5,Q2.6,Q2.7_1,Q3.1_First Click,Q3.1_Last Click,Q3.1_Page Submit,Q3.1_Click Count,Q4.1_First Click,Q4.1_Last Click,Q4.1_Page Submit,Q4.1_Click Count,Q4.3_First Click,Q4.3_Last Click,Q4.3_Page Submit,Q4.3_Click Count,Q5.1_First Click,Q5.1_Last Click,Q5.1_Page Submit,Q5.1_Click Count,Q6.1_First Click,Q6.1_Last Click,Q6.1_Page Submit,Q6.1_Click Count,Q6.3_First Click,Q6.3_Last Click,Q6.3_Page Submit,Q6.3_Click Count,Q6.4_1,Q6.5_1,Q6.6_First Click,Q6.6_Last Click,Q6.6_Page Submit,Q6.6_Click Count,Q6.8_First Click,Q6.8_Last Click,Q6.8_Page Submit,Q6.8_Click Count,Q6.9_1,Q6.10_1,Q6.11_First Click,Q6.11_Last Click,Q6.11_Page Submit,Q6.11_Click Count,Q6.13_First Click,Q6.13_Last Click,Q6.13_Page Submit,Q6.13_Click Count,Q6.14_1,Q6.15_1,Q6.16_First Click,Q6.16_Last Click,Q6.16_Page Submit,Q6.16_Click Count,Q6.18_First Click,Q6.18_Last Click,Q6.18_Page Submit,Q6.18_Click Count,Q6.19_1,Q6.20_1,Q6.21_First Click,Q6.21_Last Click,Q6.21_Page Submit,Q6.21_Click Count,Q6.23_First Click,Q6.23_Last Click,Q6.23_Page Submit,Q6.23_Click Count,Q6.24_1,Q6.25_1,Q7.1_First Click,Q7.1_Last Click,Q7.1_Page Submit,Q7.1_Click Count,Q8.1_First Click,Q8.1_Last Click,Q8.1_Page Submit,Q8.1_Click Count,Q8.3_First Click,Q8.3_Last Click,Q8.3_Page Submit,Q8.3_Click Count,Q8.4_1,Q8.5_1,Q8.6_First Click,Q8.6_Last Click,Q8.6_Page Submit,Q8.6_Click Count,Q8.8_First Click,Q8.8_Last Click,Q8.8_Page Submit,Q8.8_Click Count,Q8.9_1,Q8.10_1,Q8.11_First Click,Q8.11_Last Click,Q8.11_Page Submit,Q8.11_Click Count,Q8.13_First Click,Q8.13_Last Click,Q8.13_Page Submit,Q8.13_Click Count,Q8.14_1,Q8.15_1,Q8.16_First Click,Q8.16_Last Click,Q8.16_Page Submit,Q8.16_Click Count,Q8.18_First Click,Q8.18_Last Click,Q8.18_Page Submit,Q8.18_Click Count,Q8.19_1,Q8.20_1,Q8.21_First Click,Q8.21_Last Click,Q8.21_Page Submit,Q8.21_Click Count,Q8.23_First Click,Q8.23_Last Click,Q8.23_Page Submit,Q8.23_Click Count,Q8.24_1,Q8.25_1,Q9.1,Q9.2_1,Q9.3_1,Q9.4_1,Q9.5_1,Q9.6,Q11.1,q1_score,q2_score,q3_score,q4_score,q5_score,final_score,earnings,correct_res,true_earnings,correct,q1_txt,q2_txt,q3_txt,q4_txt,q5_txt,surveycode,MID,p1_txt,p2_txt,Random
2021-07-25 14:59:17,2021-07-25 15:16:32,IP Address,34.201.45.78,100,1035,True,2021-07-25 15:16:33,R_3PLZ6N9jWGS9tYc,,,,,39.048095703125,-77.47280120849609375,anonymous,EN,0.20000000298023223876953125,projects/513998946275/assessments/65979cc1c8000000,57.637,72.671,80.882,10,Male,,35-44,White/ Caucasian,,Bachelor's degree,"$25,000 - $50,000",Joy of solving math puzzles,"4
 ",28.643,72.522,77.108,3,6.113,221.568,221.699,4,2.919,26.751,26.771,4,3.477,3.477,8.715,1,5.114,27.174,27.199,3,0.311,9.517,11.262,4,4,3,8.884,20.504,20.528,2,3.548,7.61,8.608,3,3,4,3.212,18.229,18.154,2,2.384,4.944,6.299,3,3,3,2.117,85.759,85.782,7,2.471,9.027,10.26,6,2,3,5.129,23.357,23.276,2,6.947,12.64,13.845,8,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,"2
 ","4
 ",4,"3
Neutral",Frustration from answering puzzles incorrectly,some what stressed survey because of too low time,0,0,0,0,0,0,-0.50,0,0.50,0,q~6*10-77+8,q~11-13*5+6,q~1*2/4-7,q~7-3+7+2,q~2+8/3-5,4194,,p~2*10/9-10~10/10*9*2,p~3-6/7+8~3*6*(8-7),2
2021-07-25 15:16:20,2021-07-25 15:19:18,IP Address,73.20.103.139,100,177,True,2021-07-25 15:19:19,R_1JJgUhe8JlFKtfa,,,,,40.6486968994140625,-111.96820068359375,anonymous,EN,0.89999997615814208984375,projects/513998946275/assessments/e1a68ac1c8000000,0,0,3.079,0,Female,,35-44,White/ Caucasian,,Master's or higher degree,"$25,000 - $50,000",Joy of solving math puzzles,"5
Very enjoyable",3.186,20.175,22.544,14,1.804,15.753,15.768,7,2.626,11.305,11.318,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2.469,0,1.153,13.943,13.954,7,2.45,4.958,5.668,2,4,4,1.094,4.335,4.345,2,2.257,4.248,4.817,2,4,4,1.68,5.021,5.031,2,1.758,3.32,3.955,2,3,4,1.473,7.083,7.094,6,1.339,2.901,3.559,2,3,4,1.493,4.243,4.255,3,1.701,3.556,4.147,2,4,4,No,"5
Very enjoyable","4
 ","5
Very focused","4
 ",Knowing that my earnings depend on how many correct responses I submit,good,0,0,0,0,0,0,0.50,0,0,0,q~9,q~8,q~10,q~1,q~9,2152,,p~3~10/10*9*2,p~9~3*6*(8-7),1
2021-07-25 15:06:59,2021-07-25 15:27:25,IP Address,18.133.233.237,100,1226,True,2021-07-25 15:27:26,R_6xmP19RMmTGt14t,,,,,51.5095062255859375,-0.0955047607421875,anonymous,EN,1,projects/513998946275/assessments/1c29793e28000000,2.33,16.543,232.808,2,Male,,25-34,White/ Caucasian,,High school,"$50,000 - $100,000",Joy of solving math puzzles,"5
Very enjoyable",34.945,96.048,100.565,10,13.089,55.734,55.759,2,1.909,106.817,106.836,5,7.354,59.933,75.855,3,4.314,49.541,49.578,6,7.806,20.068,21.228,8,3,3,41.308,64.971,120.152,2,6.556,15.157,16.298,5,4,2,3.71,61.434,61.465,4,8.257,19.257,20.394,14,3,3,57.473,73.297,73.325,2,2.184,8.617,10.174,5,3,3,3.523,85.01,85.039,6,2.132,8.358,9.516,7,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,"3
Neutral","5
Very Difficult","5
Very focused","4
 ",Frustration from answering puzzles incorrectly,"Time limit made me the most nervous but overall it was a fun experience ",0,0,0,10,10,20,0.30,2,0.90,2,q~(10+8)*(8-7),q,q~1*2+4*7,q~7-3+7*2,q~2*8+5-3,7861,,p~2*9+10-10,p~3*6+8-7~3*6*(8-7),2
2021-07-25 15:21:27,2021-07-25 15:39:43,IP Address,73.90.89.100,100,1096,True,2021-07-25 15:39:44,R_2QA7GZ2qm4n33tQ,,,,,39.727203369140625,-121.812896728515625,anonymous,EN,0.89999997615814208984375,projects/513998946275/assessments/ba8feac1c8000000,0,0,22.995,0,Male,,Over 65,White/ Caucasian,,High school,"$25,000 - $50,000",Joy of solving math puzzles,"5
Very enjoyable",84.18,84.18,89.075,1,3.885,65.496,65.532,8,3.718,27.811,27.979,2,0,0,20.6,0,1.87,115.525,120.022,4,3.638,8.963,10.843,2,4,2,0,0,120.108,0,4.089,7.428,9.656,2,5,1,29.157,81.449,120.109,8,3.1,6.156,8.526,2,5,1,0,0,120.107,0,4.425,11.997,14.49,4,5,1,7.607,33.627,33.673,2,5.733,15.462,17.164,7,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,"2
 ","5
Very Difficult","5
Very focused","3
Neutral",Other,There was one puzzle that I am sure I had right but the button never highlighted. I learned in the last puzzle I could press on the unhighlighted button to continue.,0,0,0,0,10,10,-0.10,1,0.70,1,q,q,q,q,q~2+8+3+5,9198,,p~(2*9(/(10/10)~(2*9(/(10/10)~(2*9)/(10/10),p~(3*6)/(8-7),2
2021-07-25 15:45:10,2021-07-25 15:54:08,IP Address,112.79.240.226,100,538,True,2021-07-25 15:54:08,R_2diQ27TuHQDkMjb,,,,,25.2978973388671875,82.99560546875,anonymous,EN,0.89999997615814208984375,projects/513998946275/assessments/daabfb5788000000,12.037,13.785,17.903,2,Male,,25-34,Asian,,Bachelor's degree,"Less than $25,000",Joy of solving math puzzles,"5
Very enjoyable",1.31,35.785,39.129,14,4.302,99.97,100.137,28,2.103,86.46,86.551,6,1.775,2.21,3.251,2,2.101,39.503,39.781,5,2.756,4.474,5.974,3,5,4,1.201,23.47,23.581,4,1.498,3.743,4.366,5,4,4,1.302,73.503,73.724,4,1.528,2.566,3.716,3,4,4,1.005,18.036,18.231,4,0.901,1.9,2.486,3,4,4,1.601,20.205,20.415,4,1.528,4.55,5.072,7,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,"4
 ","3
Neutral","3
Neutral","3
Neutral",Knowing that my earnings depend on how many correct responses I submit,,0,0,0,0,0,0,-0.50,0,0.50,0,q~6*10*7/8,q~11*13*5/6,q~1*(2+4)*7,q~7*3*7/2,q~2*8*3/5,7450,,p~2x10x(9/10)~2x10x(9/10)~2*10*(9/10),p~3*6*7/8~3*6*(8-7),2
2021-07-25 16:05:36,2021-07-25 16:19:17,IP Address,91.174.15.13,100,820,True,2021-07-25 16:19:17,R_12M76hnXeSvmeN0,,,,,49.02490234375,1.150299072265625,anonymous,EN,1,projects/513998946275/assessments/01cc453e28000000,17.276,40.878,87.007,15,Female,,25-34,White/ Caucasian,,Master's or higher degree,"$25,000 - $50,000",Joy of solving math puzzles,"3
Neutral",1.902,95.596,97.932,25,3.148,31.189,31.331,3,0.812,17.613,17.689,3,1.695,11.651,16.445,15,1.779,23.098,23.169,2,2.331,10.014,11.154,6,3,3,1.735,1.735,120.023,1,3.198,8.724,9.572,4,2,1,74.859,115.102,120.025,2,1.737,5.487,18.263,4,2,1,1.894,84.732,84.706,3,1.654,4.635,6.058,3,2,2,31.934,62.486,62.564,3,2.202,6.3,7.533,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,"3
Neutral","3
Neutral","2
 ","3
Neutral",Frustration from answering puzzles incorrectly,,0,0,0,10,10,20,0.30,2,0.90,2,q~(10+8)/(8-7),q,q,q~(7*2)+(7-3),q~(8*2)+(5-3),5194,,p~(2*9)*10/10,p~3*6/(8-7),2
2021-07-25 17:13:05,2021-07-25 17:25:50,IP Address,73.69.99.237,100,764,True,2021-07-25 17:25:52,R_27ezIznH2CWsWWd,,,,,41.53619384765625,-72.0832977294921875,anonymous,EN,0.89999997615814208984375,projects/513998946275/assessments/6cf2dd0870000000,0,0,6.445,0,Female,,35-44,White/ Caucasian,,Bachelor's degree,"$50,000 - $100,000",Monetary incentive,"5
Very enjoyable",3.392,3.392,11.749,1,22.766,129.206,129.353,3,0.978,101.985,102.028,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,4.9,0,23.766,39.719,39.766,2,2.706,5.266,6.442,2,4,3,42.92,43.243,120.117,2,1.921,5.562,6.894,3,5,2,15.704,71.493,71.556,2,1.784,4.964,6.33,4,5,3,0.658,81.483,81.522,2,0.651,4.297,5.535,4,5,1,8.401,17.899,17.947,3,1.729,3.846,5.211,2,4,3,No,"4
 ","5
Very Difficult","5
Very focused","5
A lot of pressure",Knowing that my earnings depend on how many correct responses I submit,"This was tricky, I wish there were more problems to solve though! I felt like I was just starting to get the hang of it!",0,0,10,0,10,20,0.90,0,0,0,q~10+8+6-7,q,q~7*2+4*1,q~7*7/3+2,q~5+3+2+8,3979,,p~9*2/10-10~10/10*9*2,p~8+6+7-3,1
2021-07-25 17:59:56,2021-07-25 18:16:44,IP Address,73.102.194.37,100,1007,True,2021-07-25 18:16:45,R_3j6Vfs2z1FQWweK,,,,,39.2317962646484375,-85.888397216796875,anonymous,EN,0.89999997615814208984375,projects/513998946275/assessments/93401fc1c8000000,0,0,123.054,0,Female,,18-24,Asian,,High school,"$25,000 - $50,000",Joy of solving math puzzles,"5
Very enjoyable",42.558,42.558,81.603,1,9.601,70.638,70.763,2,15.11,126.937,126.96,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,42.872,0,1.742,36.794,36.823,3,6.524,12.601,15.418,3,2,4,1.532,1.532,120.114,1,8.488,14.773,16.16,2,4,4,16.481,34.225,34.251,2,4.778,7.673,9.234,2,2,4,32.805,88.971,88.99,4,4.056,11.465,12.838,5,4,4,14.884,24.137,24.163,2,1.853,3.021,4.118,2,3,3,No,"4
 ","3
Neutral","5
Very focused","2
 ",Knowing that my earnings depend on how many correct responses I submit,,10,0,10,10,10,40,1.30,0,0,0,q~(10+8)/(7-6),q,q~(7*2)+4/1,q~(7*2)+7-3,q~2+8+3+5,5892,,p~2*(10/10)*9,p~(3*6)/(8-7),1
2021-07-25 18:11:11,2021-07-25 18:26:03,IP Address,38.96.188.204,100,891,True,2021-07-25 18:26:03,R_UbCBFyf9Bq14ivT,,,,,40.7427978515625,-73.97119903564453125,anonymous,EN,1,projects/513998946275/assessments/3a1c5b0870000000,0,0,8.335,0,Male,,35-44,Asian,,Bachelor's degree,"$25,000 - $50,000",Monetary incentive,"4
 ",8.465,43.16,66.633,9,1.907,67.578,67.592,2,1.73,35.202,35.215,4,0,0,24.97,0,1.175,32.367,32.381,4,5.516,8.891,10.08,2,4,4,1.124,116.322,120.11,8,3.948,7.267,8.13,2,5,2,0.955,80.058,80.07,2,3.369,5.159,5.919,2,4,2,1.202,69.201,69.214,2,2.681,4.609,5.629,4,4,2,1.734,32.022,32.036,4,6.746,9.154,10.012,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,"3
Neutral","4
 ","5
Very focused","4
 ",Knowing that my earnings depend on how many correct responses I submit,"I could not mentally come up with an answer within required period and left the answer box blank, I was worried that it may be considered as not putting enough effort, when I do calculations in head before putting them to paper in simple operations as in quiz. Hopefully it will be ok.",10,0,10,10,10,40,1.10,4,1.30,4,q~(10+8)*(7-6),q,q~(7*2)+(4*1),q~(7*2)+(7-3),q~(2*8)+(5-3),3736,,p~(9*2)+(10-10),p~(3*6)*(8-7),2
2021-07-25 18:26:16,2021-07-25 18:32:38,IP Address,161.77.81.246,100,381,True,2021-07-25 18:32:38,R_2CJvwavaL3eyuEc,,,,,42.098602294921875,-72.59310150146484375,anonymous,EN,0.89999997615814208984375,projects/513998946275/assessments/e38d870870000000,5.105,5.105,9.455,1,Male,,25-34,White/ Caucasian,,Bachelor's degree,"$25,000 - $50,000",Joy of solving math puzzles,"5
Very enjoyable",11.557,27.078,39.648,3,6.411,34.862,34.876,6,3.673,20.914,20.923,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,4.504,0,22.53,25.45,25.459,2,3.852,13.425,14.92,6,3,3,2.351,6.552,6.562,2,2.408,14.515,17.567,4,3,4,14.993,21.748,21.758,2,2.6,9.901,13.653,4,3,4,2.088,8.393,8.402,3,2.986,8.456,9.639,3,3,4,1.914,6.51,6.52,2,2.947,12.678,14.505,6,3,5,Yes,"5
Very enjoyable","1
Not difficult at all","5
Very focused","2
 ",Emotional high from answering puzzles correctly,its puzzles very easy and enjoyable,0,0,0,0,0,0,0.50,0,0,0,q~6,q~13,"q~2,4","q~3,2","q~3,5",8189,,p~10~10/10*9*2,"p~3 ,6~3*6*(8-7)",1
2021-07-25 18:23:02,2021-07-25 18:45:00,IP Address,79.110.183.207,100,1318,True,2021-07-25 18:45:02,R_2EujUKtcAqu2Lof,,,,,34.0493927001953125,-118.2660980224609375,anonymous,EN,0.300000011920928955078125,projects/513998946275/assessments/a347e70870000000,0,0,98.398,0,Female,,18-24,White/ Caucasian,,Master's or higher degree,"$25,000 - $50,000",Joy of solving math puzzles,"5
Very enjoyable",132.4,158.142,176.53,2,32.53,71.525,71.575,4,3.811,64.116,64.16,3,0,0,15.797,0,4.5,165.336,184.114,10,10.43,14.174,15.82,2,4,4,99.717,99.717,120.029,1,2.65,5.697,6.542,5,4,4,0,0,122.036,0,25.676,27.25,28.792,2,4,4,1.68,18.006,18.062,2,2.441,3.75,4.559,2,4,4,1.558,149.927,149.973,26,1.706,5.143,5.898,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,"5
Very enjoyable","4
 ","3
Neutral","4
 ",Knowing that my earnings depend on how many correct responses I submit,nice,0,0,0,0,0,0,-0.30,0,0.50,0,q~6*8(10-7)~6*8(10-7)~6*8(10-7)~6*8(10-7)~6*8(10-7)~6*8(10-7)~6*8(10-7),q,q,q~7/7*3*2,q~2*3(8-5)~2*3(8-5)~2*3(8-5)~2*3(8-5)~2*3(8-5)~2*3(8-5)~2*3(8-5)~2*3(8-5)~2*3(8-5)~2*3(8-5)~2*3(8-5)~2*3(8-5)~2*3(8-5)~2*3(8-5)~2*3(8-5)~2*3(8-5)~2*3*8*5,8054,,p~110~10/10*9*2,p~6/8*6*3~3*6*(8-7),2
2021-07-25 18:57:49,2021-07-25 18:59:54,Survey Preview,,100,124,True,2021-07-25 18:59:54,R_OJSZCc0byckSO2t,,,,,37.5731048583984375,-122.05390167236328125,preview,EN,1,projects/513998946275/assessments/e518b421c8000000,0,0,2.452,0,Prefer not to answer,,45-54,Asian,,Bachelor's degree,"More than $100,000",Other,"5
Very enjoyable",2.348,2.348,6.892,1,2.47,4.512,4.532,2,1.025,2.956,2.971,2,0,0,2.478,0,8.337,14.317,14.338,2,2.387,5.364,6.86,3,2,3,1.122,3.792,3.815,2,2.6,4.401,5.295,2,3,3,1.775,4.242,4.263,2,2.586,4.54,5.793,2,3,3,2.232,3.851,3.871,2,2.382,4.065,5.225,2,4,5,0.926,3.188,3.204,2,2.165,3.542,4.507,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,"4
 ","4
 ",4,"4
 ",Other,,0,0,0,0,0,0,-0.50,0,0.50,0,q~10+8-7-5,q~12+12,q~3+7*2,q~3*5,q~10+8-7-5,4076,,p~~10/10*9*2,p~~3*6*(8-7),2
2021-07-26 07:02:06,2021-07-26 07:05:13,IP Address,71.45.159.14,100,186,True,2021-07-26 07:05:13,R_XnOVJROn5tCCasN,,,,,33.5211029052734375,-86.770599365234375,anonymous,EN,1,projects/513998946275/assessments/13692d61c8000000,0,0,5.049,0,Male,,Over 65,White/ Caucasian,,Bachelor's degree,"$25,000 - $50,000",Joy of solving math puzzles,"5
Very enjoyable",11.904,11.904,15.813,1,1.095,8.529,8.562,3,1.003,6.389,6.41,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,30.678,0,0.878,3.192,3.222,2,2.31,4.579,5.313,2,5,5,1.168,3.281,3.307,2,1.829,4.18,4.943,2,4,5,1.398,4.334,4.359,2,1.816,4.329,5.062,2,4,5,1.164,3.813,3.832,2,2.51,4.601,5.443,2,4,5,1.354,3.519,3.548,2,1.762,3.816,4.534,2,5,4,Yes,"5
Very enjoyable","5
Very Difficult",4,"5
A lot of pressure",Knowing that my earnings depend on how many correct responses I submit,nice,0,0,0,0,0,0,0.50,0,0,0,q~10,q~5,q~4,q~3,q~5,8348,A2MNDXS4E8LRJR,p~10~10/10*9*2,p~7~3*6*(8-7),1
2021-07-26 07:01:13,2021-07-26 07:05:58,IP Address,76.72.175.120,100,285,True,2021-07-26 07:05:59,R_2oBfPD8TrFxLuGl,,,,,37.751007080078125,-97.82199859619140625,anonymous,EN,0.60000002384185791015625,projects/513998946275/assessments/5a96304870000000,0,0,5.537,0,Male,,25-34,White/ Caucasian,,Bachelor's degree,"$25,000 - $50,000",Joy of solving math puzzles,"4
 ",2.558,11.27,13.447,2,8.063,28.762,28.701,4,1.554,36.883,36.922,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1.768,0,1.049,19.923,19.946,2,1.472,3.63,4.661,3,4,3,3.832,21.577,21.601,2,1.1,3.212,4.925,2,4,3,2.106,29.026,29.048,2,1.201,3.049,3.852,3,4,3,3.913,14.882,14.905,2,1.296,5.647,6.468,8,3,4,1.397,15.975,15.996,2,1.311,3.196,3.928,3,4,4,No,"4
 ","3
Neutral",4,"4
 ",Knowing that my earnings depend on how many correct responses I submit,No comments,0,0,0,0,0,0,0.50,0,0,0,q~6*10*(8-1),q~11*13*(6-1),q~1*(2/4)*7,q~7/7*3+2,q~2+8*3/5,9024,A33S7UYXRIGYDR,p~31~10/10*9*2,p~8/6*7*3~3*6*(8-7),1
2021-07-26 07:02:42,2021-07-26 07:06:54,IP Address,185.196.25.144,100,252,True,2021-07-26 07:06:54,R_2wt2jiF8Z9JnQpt,,,,,39.1027069091796875,-94.57779693603515625,anonymous,EN,0.89999997615814208984375,projects/513998946275/assessments/980dcd61c8000000,5.042,5.042,5.887,1,Female,,45-54,White/ Caucasian,,Bachelor's degree,"$50,000 - $100,000",Monetary incentive,"4
 ",2.716,21.969,28.506,8,0.877,15.364,15.423,6,0.749,13.906,13.95,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3.901,0,0.542,16.524,16.566,3,0.824,3.372,4.219,7,3,4,0.761,9.985,10.038,4,1.501,3.606,4.79,5,3,3,0.466,15.016,15.052,2,1.216,2.699,3.445,4,5,4,0.384,6.559,6.59,4,1.159,4.638,5.656,3,4,4,0.471,5.704,5.749,5,0.701,3.743,4.457,7,1,3,Yes,"3
Neutral","4
 ","3
Neutral","4
 ",Emotional high from answering puzzles correctly,nice,0,0,0,0,0,0,0.50,0,0,0,q~31,q~35,q~14,q~19,q~18,1589,A3IKNT1N18NMNB,p~31~10/10*9*2,p~24~3*6*(8-7),1
2021-07-26 07:03:51,2021-07-26 07:06:56,IP Address,68.9.42.46,100,184,True,2021-07-26 07:06:56,R_2zvbpGaGGBQCN7E,,,,,41.8860015869140625,-71.345703125,anonymous,EN,1,projects/513998946275/assessments/46be6d61c8000000,0,0,2.275,0,Male,,18-24,White/ Caucasian,,Bachelor's degree,"$25,000 - $50,000",Joy of solving math puzzles,"3
Neutral",0.569,3.03,4.62,4,2.068,9.977,10.006,4,0.723,7.773,7.8,4,0,0,6.589,0,0.543,29.879,29.906,2,1.137,2.276,2.746,3,2,2,2.311,16.335,16.353,2,1.852,4.87,5.416,7,5,1,0.766,12.192,12.214,4,1.1,2.21,2.507,3,5,5,0.428,8.55,8.575,2,0.987,3.127,3.58,5,5,1,0.431,6.441,6.46,2,1.517,2.936,3.389,5,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,"1
Did not enjoy","5
Very Difficult","2
 ","2
 ",Frustration from answering puzzles incorrectly,"n/a ",0,0,0,0,0,0,-0.50,0,0.50,0,q~6*10+7*8,q~11*13*5+6,q~1*2*(4+7),q~7*3+7-2,q~2*8*3+5,3224,A3HZFB2JLF3JMY,p~8~10/10*9*2,p~9~3*6*(8-7),2
2021-07-26 07:02:41,2021-07-26 07:07:15,IP Address,12.198.49.144,100,273,True,2021-07-26 07:07:15,R_1gI8cou5BKsoBIw,,,,,32.720306396484375,-117.1551971435546875,anonymous,EN,1,projects/513998946275/assessments/9a0c2d61c8000000,2.361,4.502,6.355,2,Male,,35-44,White/ Caucasian,,Bachelor's degree,"$50,000 - $100,000",Joy of solving math puzzles,"5
Very enjoyable",1.564,16.503,18.139,11,1.505,17.915,17.991,3,1.622,12.488,12.59,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.982,3.442,4.717,2,1.731,6.704,6.762,2,0.07,6.964,7.862,6,2,2,3.941,7.691,7.896,3,2.045,5.31,6.957,3,2,2,1.599,8.07,8.228,2,2.033,6.223,7.222,4,2,3,3.149,11.043,11.086,2,2.601,7.808,9.274,4,2,4,8.049,12.674,12.854,2,1.713,5.521,6.539,4,3,3,No,"4
 ","4
 ","3
Neutral","4
 ",Knowing that my earnings depend on how many correct responses I submit,Very well,0,0,0,0,0,0,0.50,0,0,0,q~520,q~15,q~14,q~19,q~15,1561,A18F0VDH08E0QY,p~31~10/10*9*2,p~50~3*6*(8-7),1
2021-07-26 07:02:06,2021-07-26 07:07:27,IP Address,74.137.215.201,100,321,True,2021-07-26 07:07:27,R_1pVXrRgaOTRkzF6,,,,,39.2454071044921875,-84.25370025634765625,anonymous,EN,0.800000011920928955078125,projects/513998946275/assessments/8db8b04870000000,2.079,15.232,16.851,13,Male,,25-34,White/ Caucasian,,Bachelor's degree,"$50,000 - $100,000",Joy of solving math puzzles,"4
 ",1.855,29.314,42.346,11,1.102,20.014,20.064,5,0.788,20.15,20.185,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,17.227,0,0.871,11.321,11.362,2,2.039,5.335,6.789,6,4,5,0.77,17.751,17.792,3,1.824,3.946,4.632,5,4,4,0.67,11.916,11.957,2,0.648,2.934,4.033,6,4,4,0.404,19.783,19.808,2,0.779,4.877,5.467,8,5,5,0.448,12.783,12.823,4,0.498,3.417,3.74,5,3,4,Yes,"4
 ","5
Very Difficult","5
Very focused","4
 ",Emotional high from answering puzzles correctly,GOOD,0,0,0,0,0,0,0.50,0,0,0,q~6-10/7*8,q~11+3/5-6,q~1+2*4/7,q~7*3/7+2,q~2*8/3*5,6639,A3E2TLUKGTFGLO,p~2-10+9/10~10/10*9*2,p~3+6/7*8~3*6*(8-7),1
2021-07-26 07:02:05,2021-07-26 07:07:32,IP Address,155.254.116.28,100,326,True,2021-07-26 07:07:32,R_3kmF26w509EUEb3,,,,,29.7754058837890625,-95.59799957275390625,anonymous,EN,0.60000002384185791015625,projects/513998946275/assessments/3cb2f04870000000,0,0,10.269,0,Male,,55-64,White/ Caucasian,,Bachelor's degree,"More than $100,000",Joy of solving math puzzles,"4
 ",4.868,4.868,11.791,1,1.624,24.633,24.676,4,1.702,10.958,10.992,4,0,0,2.289,0,2.878,37.968,38.013,5,3.639,4.803,7.066,2,4,5,1.985,21.289,21.329,4,1.284,8.068,8.264,13,4,5,1.297,11.081,11.119,2,1.025,4.534,5.015,8,4,5,1.13,19.714,19.751,3,1.22,3.86,4.304,8,4,5,1.583,35.991,36.029,4,1.594,5.25,5.508,8,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,"4
 ","5
Very Difficult",4,"5
A lot of pressure",Knowing that my earnings depend on how many correct responses I submit,nice to work,0,0,0,0,0,0,-0.50,0,0.50,0,q~116,q~0.5,q~0.2,q~0.20,q~141,4586,A2N2H81YVJAWYG,p~31~10/10*9*2,p~124~3*6*(8-7),2
